index,mage_cat,mar_p,dmar,meduc,feduc,cig_cat,dbwt
0,20-25,N,2.0,1,1,none,3212.625
1,20-25,N,2.0,1,2,<5,3345.0
2,20-25,N,2.0,1,2,none,3440.9285714285716
3,20-25,N,2.0,1,3,21-40,3164.0
4,20-25,N,2.0,1,3,41+,2997.5
5,20-25,N,2.0,1,3,none,3256.5555555555557
6,20-25,N,2.0,1,4,none,2749.6666666666665
7,20-25,N,2.0,1,5,none,2115.0
8,20-25,N,2.0,1,6,none,3412.0
9,20-25,N,2.0,1,9,11-20,2958.908496732026
10,20-25,N,2.0,1,9,21-40,2868.8518518518517
11,20-25,N,2.0,1,9,41+,3064.733333333333
12,20-25,N,2.0,1,9,5-10,3067.462365591398
13,20-25,N,2.0,1,9,<5,3133.776119402985
14,20-25,N,2.0,1,9,none,3140.424499564839
15,20-25,N,2.0,2,1,11-20,2880.0
16,20-25,N,2.0,2,1,<5,3226.0
17,20-25,N,2.0,2,1,none,3191.6176470588234
18,20-25,N,2.0,2,2,11-20,3453.1
19,20-25,N,2.0,2,2,41+,3398.5
20,20-25,N,2.0,2,2,5-10,3289.875
21,20-25,N,2.0,2,2,<5,3242.3333333333335
22,20-25,N,2.0,2,2,none,3231.6794871794873
23,20-25,N,2.0,2,3,11-20,3210.2
24,20-25,N,2.0,2,3,21-40,3160.5
25,20-25,N,2.0,2,3,41+,3117.5
26,20-25,N,2.0,2,3,5-10,3229.95
27,20-25,N,2.0,2,3,<5,3065.5
28,20-25,N,2.0,2,3,none,3179.057142857143
29,20-25,N,2.0,2,4,11-20,4030.0
30,20-25,N,2.0,2,4,5-10,3624.0
31,20-25,N,2.0,2,4,<5,2850.0
32,20-25,N,2.0,2,4,none,3077.64
33,20-25,N,2.0,2,5,none,3140.0
34,20-25,N,2.0,2,6,none,3327.25
35,20-25,N,2.0,2,7,none,2860.0
36,20-25,N,2.0,2,8,none,3051.5
37,20-25,N,2.0,2,9,11-20,3051.6078260869567
38,20-25,N,2.0,2,9,21-40,3080.096842105263
39,20-25,N,2.0,2,9,41+,2986.956158663883
40,20-25,N,2.0,2,9,5-10,3058.7235294117645
41,20-25,N,2.0,2,9,<5,3038.8192048012
42,20-25,N,2.0,2,9,none,3098.950421940928
43,20-25,N,2.0,3,1,21-40,3205.0
44,20-25,N,2.0,3,1,<5,3141.0
45,20-25,N,2.0,3,1,none,2986.44
46,20-25,N,2.0,3,2,11-20,3166.1666666666665
47,20-25,N,2.0,3,2,21-40,2921.0
48,20-25,N,2.0,3,2,41+,3370.0
49,20-25,N,2.0,3,2,5-10,3260.4285714285716
